instance code,patient num,instance num,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,class
AD_10,28,28,1.6418,1.6425,1.6451,1.6406,1.6501,1.6313,1.6425,1.653,1.6348,1.6583,1.6448,1.6571,1.6387,1.6546,1.6693,1.6502,1.6513,1.6295,1.6382,1.6331,1.6301,1
AD_11,29,29,1.6593,1.6618,1.654,1.6475,1.6702,1.6692,1.6601,1.6421,1.64,1.6659,1.6591,1.6542,1.6611,1.6767,1.661,1.6556,1.6691,1.6808,1.6709,1.6654,1.6721,1
AD_12,30,30,1.6538,1.6591,1.6539,1.6723,1.6771,1.6816,1.6783,1.6751,1.6899,1.6881,1.6706,1.6797,1.6846,1.6939,1.6929,1.6769,1.6927,1.695,1.6793,1.6809,1.6872,1
AD_13,31,31,1.668,1.6685,1.6657,1.663,1.6888,1.6943,1.6825,1.6567,1.6645,1.6723,1.6867,1.673,1.6598,1.682,1.6713,1.6644,1.6697,1.6819,1.6793,1.6734,1.6788,1
AD_14,32,32,1.6348,1.6349,1.6275,1.6463,1.6474,1.6508,1.6476,1.6453,1.6434,1.6587,1.673,1.6634,1.6446,1.6574,1.641,1.6476,1.6449,1.6552,1.652,1.6405,1.6462,1
AD_15,33,33,1.651,1.6534,1.6535,1.6534,1.6634,1.6698,1.6741,1.6646,1.6587,1.6602,1.6605,1.6548,1.6659,1.6714,1.6807,1.6733,1.6755,1.6668,1.6647,1.6552,1.6583,1
AD_16,34,34,1.6703,1.6734,1.6713,1.6814,1.6635,1.6656,1.6789,1.6832,1.6908,1.6851,1.6737,1.6846,1.687,1.676,1.6871,1.6825,1.6859,1.6876,1.6755,1.6718,1.6727,1
AD_17,35,35,1.6394,1.6454,1.6396,1.6534,1.6591,1.6614,1.6576,1.65,1.652,1.6571,1.6571,1.653,1.6503,1.6724,1.6658,1.666,1.6482,1.6548,1.6601,1.6539,1.6449,1
AD_18,36,36,1.657,1.6603,1.6585,1.659,1.6898,1.6956,1.6832,1.6585,1.6745,1.6858,1.6884,1.6789,1.6753,1.6986,1.6906,1.6855,1.6841,1.6872,1.6903,1.6874,1.6852,1
AD_19,37,37,1.6422,1.6305,1.6293,1.6234,1.6448,1.6379,1.6341,1.6416,1.6327,1.6513,1.6357,1.6351,1.6589,1.634,1.6576,1.6533,1.6542,1.6564,1.6228,1.6149,1.6236,1
AD_20,38,38,1.6402,1.6461,1.6466,1.6415,1.6524,1.6572,1.6475,1.6318,1.6392,1.6491,1.6561,1.6427,1.6491,1.6464,1.6423,1.6364,1.646,1.6467,1.6431,1.6452,1.6394,1
AD_21,39,39,1.6457,1.6515,1.6485,1.6576,1.6676,1.6766,1.6702,1.6613,1.6566,1.6688,1.6761,1.6561,1.656,1.6526,1.6841,1.6904,1.6807,1.6655,1.6694,1.6688,1.669,1
AD_22,40,40,1.6794,1.6848,1.6844,1.6971,1.6899,1.6974,1.695,1.6875,1.7024,1.7002,1.7012,1.6995,1.6888,1.7057,1.7076,1.7044,1.6978,1.6958,1.6964,1.69,1.6962,1
AD_23,41,41,1.6356,1.634,1.6281,1.6507,1.657,1.6528,1.6561,1.655,1.6464,1.6617,1.6628,1.6536,1.6552,1.6606,1.6712,1.6618,1.6688,1.6809,1.6497,1.6473,1.6679,1
AD_24,42,42,1.6501,1.6499,1.6474,1.6531,1.667,1.6589,1.6606,1.6496,1.6401,1.6676,1.6675,1.6602,1.6541,1.6611,1.664,1.6729,1.6833,1.6702,1.6593,1.6713,1.6779,1
AD_25,43,43,1.6248,1.6257,1.6266,1.6362,1.6461,1.653,1.6461,1.6298,1.6539,1.6561,1.6687,1.6578,1.6185,1.6521,1.6481,1.6597,1.6546,1.6526,1.6586,1.6602,1.6586,1
AD_26,44,44,1.6355,1.63,1.6306,1.6595,1.6555,1.6458,1.6432,1.6303,1.6361,1.6426,1.6663,1.658,1.642,1.6552,1.6537,1.6486,1.6575,1.6662,1.6546,1.649,1.6563,1
AD_27,45,45,1.67,1.6715,1.6648,1.6737,1.6845,1.6791,1.6794,1.6816,1.6898,1.6913,1.6935,1.689,1.6897,1.7003,1.6996,1.6828,1.6915,1.6984,1.6983,1.6919,1.6939,1
AD_28,46,46,1.6415,1.6391,1.6342,1.6342,1.6625,1.6669,1.6515,1.6461,1.6643,1.6588,1.668,1.6601,1.6602,1.6742,1.6532,1.6582,1.6607,1.6649,1.6656,1.6601,1.6583,1
AD_29,47,47,1.6136,1.6022,1.5918,1.6608,1.6563,1.6533,1.649,1.6502,1.6727,1.6537,1.6541,1.6588,1.6571,1.6634,1.6563,1.6559,1.6682,1.6635,1.6467,1.642,1.6513,1
AD_30,48,48,1.5791,1.5767,1.5704,1.636,1.639,1.644,1.6442,1.6452,1.6508,1.6574,1.6491,1.6539,1.6466,1.6538,1.6632,1.6535,1.6573,1.651,1.6476,1.6359,1.6344,1
AD_31,49,49,1.6409,1.6368,1.6391,1.6605,1.6467,1.6426,1.6461,1.6362,1.6555,1.6553,1.6448,1.6502,1.6549,1.649,1.6641,1.6682,1.6559,1.6486,1.6514,1.6518,1.6492,1
AD_32,50,50,1.661,1.6666,1.6579,1.6486,1.6835,1.6905,1.6716,1.6528,1.6772,1.6827,1.6869,1.6718,1.6774,1.6924,1.6876,1.6774,1.685,1.6913,1.6844,1.6855,1.6881,1
